363.27	6.40
363.73	6.45
364.19	6.50
364.65	6.55
365.11	6.60
365.57	6.65
366.03	6.69
366.49	6.74
366.95	6.78
367.41	6.81
367.87	6.85
368.33	6.88
368.79	6.91
369.25	6.93
369.72	6.95
370.18	6.97
370.64	6.97
371.10	6.98
371.56	6.99
372.02	6.99
372.48	6.99
372.94	6.98
373.40	6.97
373.86	6.96
374.32	6.94
374.78	6.93
375.24	6.91
375.70	6.89
376.16	6.87
376.62	6.85
377.08	6.82
377.54	6.80
378.00	6.77
378.46	6.74
378.92	6.72
379.38	6.69
379.84	6.66
380.30	6.63
380.76	6.61
381.22	6.58
381.68	6.55
382.14	6.52
382.60	6.49
383.06	6.46
383.52	6.43
383.97	6.41
384.43	6.38
384.89	6.35
385.35	6.32
385.81	6.29
386.27	6.27
386.73	6.24
387.19	6.21
387.65	6.19
388.11	6.16
388.57	6.14
389.03	6.11
389.49	6.09
389.95	6.06
390.41	6.04
390.87	6.02
391.32	5.99
391.78	5.97
392.24	5.95
392.70	5.93
393.16	5.91
393.62	5.88
394.08	5.86
394.54	5.84
395.00	5.82
395.46	5.80
395.91	5.79
396.37	5.77
396.83	5.75
397.29	5.73
397.75	5.71
398.21	5.70
398.67	5.68
399.13	5.66
399.58	5.65
400.04	5.63
400.50	5.61
400.96	5.60
401.42	5.58
401.88	5.57
402.34	5.56
402.79	5.54
403.25	5.53
403.71	5.51
404.17	5.50
404.63	5.49
405.09	5.47
405.55	5.46
406.00	5.45
406.46	5.44
406.92	5.42
407.38	5.41
407.84	5.40
408.29	5.39
408.75	5.38
409.21	5.37
409.67	5.35
410.13	5.34
410.59	5.33
411.04	5.32
411.50	5.31
411.96	5.30
412.42	5.29
412.88	5.28
413.33	5.27
413.79	5.26
414.25	5.25
414.71	5.24
415.16	5.23
415.62	5.22
416.08	5.21
416.54	5.20
417.00	5.19
417.45	5.18
417.91	5.17
418.37	5.17
418.83	5.16
419.28	5.15
419.74	5.14
420.20	5.13
420.66	5.12
421.11	5.11
421.57	5.10
422.03	5.10
422.49	5.09
422.94	5.08
423.40	5.07
423.86	5.06
424.31	5.06
424.77	5.05
425.23	5.04
425.69	5.03
426.14	5.02
426.60	5.02
427.06	5.01
427.51	5.00
427.97	4.99
428.43	4.99
428.89	4.98
429.34	4.97
429.80	4.97
430.26	4.96
430.71	4.95
431.17	4.94
431.63	4.94
432.08	4.93
432.54	4.92
433.00	4.92
433.45	4.91
433.91	4.90
434.37	4.90
434.82	4.89
435.28	4.88
435.74	4.88
436.19	4.87
436.65	4.86
437.11	4.86
437.56	4.85
438.02	4.85
438.48	4.84
438.93	4.83
439.39	4.83
439.85	4.82
440.30	4.82
440.76	4.81
441.21	4.80
441.67	4.80
442.13	4.79
442.58	4.79
443.04	4.78
443.50	4.77
443.95	4.77
444.41	4.76
444.86	4.76
445.32	4.75
445.78	4.75
446.23	4.74
446.69	4.74
447.14	4.73
447.60	4.72
448.06	4.72
448.51	4.71
448.97	4.71
449.42	4.70
449.88	4.70
450.34	4.69
450.79	4.69
451.25	4.68
451.70	4.68
452.16	4.67
452.61	4.67
453.07	4.66
453.52	4.66
453.98	4.65
454.44	4.65
454.89	4.64
455.35	4.64
455.80	4.63
456.26	4.63
456.71	4.63
457.17	4.62
457.62	4.62
458.08	4.61
458.53	4.61
458.99	4.60
459.44	4.60
459.90	4.59
460.36	4.59
460.81	4.58
461.27	4.58
461.72	4.58
462.18	4.57
462.63	4.57
463.09	4.56
463.54	4.56
464.00	4.56
464.45	4.55
464.91	4.55
465.36	4.54
465.82	4.54
466.27	4.53
466.73	4.53
467.18	4.53
467.63	4.52
468.09	4.52
468.54	4.51
469.00	4.51
469.45	4.51
469.91	4.50
470.36	4.50
470.82	4.50
471.27	4.49
471.73	4.49
472.18	4.48
472.64	4.48
473.09	4.48
473.54	4.47
474.00	4.47
474.45	4.47
474.91	4.46
475.36	4.46
475.82	4.46
476.27	4.45
476.72	4.45
477.18	4.44
477.63	4.44
478.09	4.44
478.54	4.43
479.00	4.43
479.45	4.43
479.90	4.42
480.36	4.42
480.81	4.42
481.27	4.41
481.72	4.41
482.17	4.41
482.63	4.40
483.08	4.40
483.54	4.40
483.99	4.40
484.44	4.39
484.90	4.39
485.35	4.39
485.80	4.38
486.26	4.38
486.71	4.38
487.17	4.37
487.62	4.37
488.07	4.37
488.53	4.36
488.98	4.36
489.43	4.36
489.89	4.36
490.34	4.35
490.79	4.35
491.25	4.35
491.70	4.34
492.15	4.34
492.61	4.34
493.06	4.34
493.51	4.33
493.97	4.33
494.42	4.33
494.87	4.32
495.33	4.32
495.78	4.32
496.23	4.32
496.69	4.31
497.14	4.31
497.59	4.31
498.04	4.31
498.50	4.30
498.95	4.30
499.40	4.30
499.86	4.30
500.31	4.29
500.76	4.29
501.22	4.29
501.67	4.29
502.12	4.28
502.57	4.28
503.03	4.28
503.48	4.28
503.93	4.27
504.38	4.27
504.84	4.27
505.29	4.27
505.74	4.26
506.19	4.26
506.65	4.26
507.10	4.26
507.55	4.25
508.00	4.25
508.46	4.25
508.91	4.25
509.36	4.24
509.81	4.24
510.27	4.24
510.72	4.24
511.17	4.24
511.62	4.23
512.08	4.23
512.53	4.23
512.98	4.23
